episode_path,run_name,modality,formula,setup,model,has_parse_error,failed_step,parse_error_message,finish_reached,forced_finish,final_equation
wandb_downloads_text_image_chart_only2/scientific-exploration-increase-text-image-chart-only2/artifacts/episode-chart_only_no_action_mass_abbrev_model_qwen25_vl_7b-01_latest,chart_only_no_action_mass_abbrev_model_qwen25_vl_7b,Chart-only,mass,abbrev,model_qwen25_vl_7b,False,,,True,False,m ∝ ρ
wandb_downloads_text_image_chart_only2/scientific-exploration-increase-text-image-chart-only2/artifacts/episode-chart_only_no_action_ohm_concrete_model_qwen25_vl_7b-04_latest,chart_only_no_action_ohm_concrete_model_qwen25_vl_7b,Chart-only,ohm,concrete,model_qwen25_vl_7b,False,,,True,False,voltage = current * resistance
wandb_downloads_text_image_chart_only2/scientific-exploration-increase-text-image-chart-only2/artifacts/episode-chart_only_no_action_kinematics_concrete_model_qwen25_vl_3b-03_latest,chart_only_no_action_kinematics_concrete_model_qwen25_vl_3b,Chart-only,kinematics,concrete,model_qwen25_vl_3b,False,,,True,False,position = initial_position + velocity * time
wandb_downloads_text_image_chart_only2/scientific-exploration-increase-text-image-chart-only2/artifacts/episode-chart_only_no_action_mass_abstract_model_qwen25_vl_3b-09_latest,chart_only_no_action_mass_abstract_model_qwen25_vl_3b,Chart-only,mass,abstract,model_qwen25_vl_3b,False,,,True,False,Y >> A + B
wandb_downloads_text_image_chart_only2/scientific-exploration-increase-text-image-chart-only2/artifacts/episode-chart_only_no_action_mass_abstract_model_qwen25_vl_3b-07_latest,chart_only_no_action_mass_abstract_model_qwen25_vl_3b,Chart-only,mass,abstract,model_qwen25_vl_3b,False,,,True,False,"Y = max(A, B)"
wandb_downloads_text_image_chart_only2/scientific-exploration-increase-text-image-chart-only2/artifacts/episode-chart_only_no_action_distance_abstract_model_qwen25_vl_7b-09_latest,chart_only_no_action_distance_abstract_model_qwen25_vl_7b,Chart-only,distance,abstract,model_qwen25_vl_7b,False,,,True,False,Y = A + B
wandb_downloads_text_image_chart_only2/scientific-exploration-increase-text-image-chart-only2/artifacts/episode-chart_only_no_action_beers_abstract_model_qwen25_vl_7b-06_latest,chart_only_no_action_beers_abstract_model_qwen25_vl_7b,Chart-only,beers,abstract,model_qwen25_vl_7b,False,,,True,False,Y = A + B + C
wandb_downloads_text_image_chart_only2/scientific-exploration-increase-text-image-chart-only2/artifacts/episode-chart_only_no_action_beers_abbrev_model_qwen25_vl_7b-06_latest,chart_only_no_action_beers_abbrev_model_qwen25_vl_7b,Chart-only,beers,abbrev,model_qwen25_vl_7b,False,,,True,False,"A = f(epsilon, c)"
wandb_downloads_text_image_chart_only2/scientific-exploration-increase-text-image-chart-only2/artifacts/episode-chart_only_no_action_distance_abbrev_model_qwen25_vl_3b-00_latest,chart_only_no_action_distance_abbrev_model_qwen25_vl_3b,Chart-only,distance,abbrev,model_qwen25_vl_3b,False,,,True,False,d = constant value
wandb_downloads_text_image_chart_only2/scientific-exploration-increase-text-image-chart-only2/artifacts/episode-chart_only_no_action_distance_abbrev_model_qwen25_vl_3b-07_latest,chart_only_no_action_distance_abbrev_model_qwen25_vl_3b,Chart-only,distance,abbrev,model_qwen25_vl_3b,False,,,True,False,d = k - d1
wandb_downloads_text_image_chart_only2/scientific-exploration-increase-text-image-chart-only2/artifacts/episode-chart_only_no_action_distance_concrete_model_qwen25_vl_3b-04_latest,chart_only_no_action_distance_concrete_model_qwen25_vl_3b,Chart-only,distance,concrete,model_qwen25_vl_3b,False,,,True,False,distance_1 + distance_2
wandb_downloads_text_image_chart_only2/scientific-exploration-increase-text-image-chart-only2/artifacts/episode-chart_only_no_action_kinematics_abbrev_model_qwen25_vl_7b-02_latest,chart_only_no_action_kinematics_abbrev_model_qwen25_vl_7b,Chart-only,kinematics,abbrev,model_qwen25_vl_7b,False,,,True,False,"x = f(x0, v, t)"
wandb_downloads_text_image_chart_only2/scientific-exploration-increase-text-image-chart-only2/artifacts/episode-chart_only_no_action_mass_concrete_model_qwen25_vl_7b-05_latest,chart_only_no_action_mass_concrete_model_qwen25_vl_7b,Chart-only,mass,concrete,model_qwen25_vl_7b,False,,,True,False,mass = density * volume
wandb_downloads_text_image_chart_only2/scientific-exploration-increase-text-image-chart-only2/artifacts/episode-chart_only_no_action_beers_abbrev_model_qwen25_vl_7b-08_latest,chart_only_no_action_beers_abbrev_model_qwen25_vl_7b,Chart-only,beers,abbrev,model_qwen25_vl_7b,False,,,True,False,A = k * c
wandb_downloads_text_image_chart_only2/scientific-exploration-increase-text-image-chart-only2/artifacts/episode-chart_only_no_action_distance_concrete_model_qwen25_vl_7b-06_latest,chart_only_no_action_distance_concrete_model_qwen25_vl_7b,Chart-only,distance,concrete,model_qwen25_vl_7b,False,,,True,False,total_distance = distance_1 + distance_2 + distance_3
wandb_downloads_text_image_chart_only2/scientific-exploration-increase-text-image-chart-only2/artifacts/episode-chart_only_no_action_kinematics_abbrev_model_qwen25_vl_3b-01_latest,chart_only_no_action_kinematics_abbrev_model_qwen25_vl_3b,Chart-only,kinematics,abbrev,model_qwen25_vl_3b,False,,,True,False,x = x0 * v * t
wandb_downloads_text_image_chart_only2/scientific-exploration-increase-text-image-chart-only2/artifacts/episode-chart_only_no_action_kinematics_abbrev_model_qwen25_vl_7b-09_latest,chart_only_no_action_kinematics_abbrev_model_qwen25_vl_7b,Chart-only,kinematics,abbrev,model_qwen25_vl_7b,True,0,"[json_decode] model output is not valid JSON (error: Invalid \escape at pos 64): '{\\n  ""reasoning"": ""The orange bar represents the target variable \\( x \\), while the blue bars represent the input v",False,False,
wandb_downloads_text_image_chart_only2/scientific-exploration-increase-text-image-chart-only2/artifacts/episode-chart_only_no_action_mass_abstract_model_qwen25_vl_3b-03_latest,chart_only_no_action_mass_abstract_model_qwen25_vl_3b,Chart-only,mass,abstract,model_qwen25_vl_3b,False,,,True,False,Y = A + B
wandb_downloads_text_image_chart_only2/scientific-exploration-increase-text-image-chart-only2/artifacts/episode-chart_only_no_action_distance_abstract_model_qwen25_vl_3b-02_latest,chart_only_no_action_distance_abstract_model_qwen25_vl_3b,Chart-only,distance,abstract,model_qwen25_vl_3b,False,,,True,False,Y = C
wandb_downloads_text_image_chart_only2/scientific-exploration-increase-text-image-chart-only2/artifacts/episode-chart_only_no_action_beers_abstract_model_qwen25_vl_7b-04_latest,chart_only_no_action_beers_abstract_model_qwen25_vl_7b,Chart-only,beers,abstract,model_qwen25_vl_7b,False,,,True,False,Y = A + B + C
wandb_downloads_text_image_chart_only2/scientific-exploration-increase-text-image-chart-only2/artifacts/episode-chart_only_no_action_mass_concrete_model_qwen25_vl_7b-08_latest,chart_only_no_action_mass_concrete_model_qwen25_vl_7b,Chart-only,mass,concrete,model_qwen25_vl_7b,False,,,True,False,mass = density * volume
wandb_downloads_text_image_chart_only2/scientific-exploration-increase-text-image-chart-only2/artifacts/episode-chart_only_no_action_beers_abstract_model_qwen25_vl_3b-06_latest,chart_only_no_action_beers_abstract_model_qwen25_vl_3b,Chart-only,beers,abstract,model_qwen25_vl_3b,False,,,True,False,Y = A
wandb_downloads_text_image_chart_only2/scientific-exploration-increase-text-image-chart-only2/artifacts/episode-chart_only_no_action_resistors_concrete_model_qwen25_vl_3b-00_latest,chart_only_no_action_resistors_concrete_model_qwen25_vl_3b,Chart-only,resistors,concrete,model_qwen25_vl_3b,False,,,True,False,total_resistance = resistance_1 + resistance_2
wandb_downloads_text_image_chart_only2/scientific-exploration-increase-text-image-chart-only2/artifacts/episode-chart_only_no_action_ohm_abbrev_model_qwen25_vl_3b-08_latest,chart_only_no_action_ohm_abbrev_model_qwen25_vl_3b,Chart-only,ohm,abbrev,model_qwen25_vl_3b,False,,,True,False,V = I + R
wandb_downloads_text_image_chart_only2/scientific-exploration-increase-text-image-chart-only2/artifacts/episode-chart_only_no_action_ohm_concrete_model_qwen25_vl_3b-09_latest,chart_only_no_action_ohm_concrete_model_qwen25_vl_3b,Chart-only,ohm,concrete,model_qwen25_vl_3b,False,,,True,False,voltage = constant
wandb_downloads_text_image_chart_only2/scientific-exploration-increase-text-image-chart-only2/artifacts/episode-chart_only_no_action_ohm_abbrev_model_qwen25_vl_3b-01_latest,chart_only_no_action_ohm_abbrev_model_qwen25_vl_3b,Chart-only,ohm,abbrev,model_qwen25_vl_3b,False,,,True,False,V = I + R
wandb_downloads_text_image_chart_only2/scientific-exploration-increase-text-image-chart-only2/artifacts/episode-chart_only_no_action_kinematics_abstract_model_qwen25_vl_3b-01_latest,chart_only_no_action_kinematics_abstract_model_qwen25_vl_3b,Chart-only,kinematics,abstract,model_qwen25_vl_3b,False,,,True,False,Y = k * A + k * B
wandb_downloads_text_image_chart_only2/scientific-exploration-increase-text-image-chart-only2/artifacts/episode-chart_only_no_action_kinematics_concrete_model_qwen25_vl_7b-05_latest,chart_only_no_action_kinematics_concrete_model_qwen25_vl_7b,Chart-only,kinematics,concrete,model_qwen25_vl_7b,False,,,True,False,Position = Initial_position + Velocity * Time
wandb_downloads_text_image_chart_only2/scientific-exploration-increase-text-image-chart-only2/artifacts/episode-chart_only_no_action_distance_abbrev_model_qwen25_vl_7b-07_latest,chart_only_no_action_distance_abbrev_model_qwen25_vl_7b,Chart-only,distance,abbrev,model_qwen25_vl_7b,False,,,True,False,d = d1 + d2 + d3
wandb_downloads_text_image_chart_only2/scientific-exploration-increase-text-image-chart-only2/artifacts/episode-chart_only_no_action_resistors_concrete_model_qwen25_vl_3b-07_latest,chart_only_no_action_resistors_concrete_model_qwen25_vl_3b,Chart-only,resistors,concrete,model_qwen25_vl_3b,False,,,True,False,total_resistance = resistance_1 + resistance_2
wandb_downloads_text_image_chart_only2/scientific-exploration-increase-text-image-chart-only2/artifacts/episode-chart_only_no_action_distance_concrete_model_qwen25_vl_3b-00_latest,chart_only_no_action_distance_concrete_model_qwen25_vl_3b,Chart-only,distance,concrete,model_qwen25_vl_3b,False,,,True,False,total_distance = distance_1 + distance_2
wandb_downloads_text_image_chart_only2/scientific-exploration-increase-text-image-chart-only2/artifacts/episode-chart_only_no_action_ohm_abstract_model_qwen25_vl_7b-06_latest,chart_only_no_action_ohm_abstract_model_qwen25_vl_7b,Chart-only,ohm,abstract,model_qwen25_vl_7b,False,,,True,False,Y = const
wandb_downloads_text_image_chart_only2/scientific-exploration-increase-text-image-chart-only2/artifacts/episode-chart_only_no_action_resistors_abbrev_model_qwen25_vl_7b-05_latest,chart_only_no_action_resistors_abbrev_model_qwen25_vl_7b,Chart-only,resistors,abbrev,model_qwen25_vl_7b,False,,,True,False,"Rt = f(R1, R2)"
wandb_downloads_text_image_chart_only2/scientific-exploration-increase-text-image-chart-only2/artifacts/episode-chart_only_no_action_ohm_abbrev_model_qwen25_vl_7b-05_latest,chart_only_no_action_ohm_abbrev_model_qwen25_vl_7b,Chart-only,ohm,abbrev,model_qwen25_vl_7b,False,,,True,False,V = I
wandb_downloads_text_image_chart_only2/scientific-exploration-increase-text-image-chart-only2/artifacts/episode-chart_only_no_action_resistors_concrete_model_qwen25_vl_7b-01_latest,chart_only_no_action_resistors_concrete_model_qwen25_vl_7b,Chart-only,resistors,concrete,model_qwen25_vl_7b,False,,,True,False,total_resistance = 1/(1/resistance_1 + 1/resistance_2)
wandb_downloads_text_image_chart_only2/scientific-exploration-increase-text-image-chart-only2/artifacts/episode-chart_only_no_action_distance_concrete_model_qwen25_vl_7b-03_latest,chart_only_no_action_distance_concrete_model_qwen25_vl_7b,Chart-only,distance,concrete,model_qwen25_vl_7b,False,,,True,False,total_distance = distance_1 + distance_2 + distance_3
wandb_downloads_text_image_chart_only2/scientific-exploration-increase-text-image-chart-only2/artifacts/episode-chart_only_no_action_kinematics_abbrev_model_qwen25_vl_3b-03_latest,chart_only_no_action_kinematics_abbrev_model_qwen25_vl_3b,Chart-only,kinematics,abbrev,model_qwen25_vl_3b,False,,,True,False,x = k * v + l * t
wandb_downloads_text_image_chart_only2/scientific-exploration-increase-text-image-chart-only2/artifacts/episode-chart_only_no_action_distance_concrete_model_qwen25_vl_7b-01_latest,chart_only_no_action_distance_concrete_model_qwen25_vl_7b,Chart-only,distance,concrete,model_qwen25_vl_7b,False,,,True,False,total_distance = distance_1 + distance_2 + distance_3
wandb_downloads_text_image_chart_only2/scientific-exploration-increase-text-image-chart-only2/artifacts/episode-chart_only_no_action_resistors_concrete_model_qwen25_vl_3b-01_latest,chart_only_no_action_resistors_concrete_model_qwen25_vl_3b,Chart-only,resistors,concrete,model_qwen25_vl_3b,False,,,True,False,total_resistance = resistance_1 + resistance_2
wandb_downloads_text_image_chart_only2/scientific-exploration-increase-text-image-chart-only2/artifacts/episode-chart_only_no_action_kinematics_concrete_model_qwen25_vl_3b-07_latest,chart_only_no_action_kinematics_concrete_model_qwen25_vl_3b,Chart-only,kinematics,concrete,model_qwen25_vl_3b,False,,,True,False,initial_position + velocity * time
wandb_downloads_text_image_chart_only2/scientific-exploration-increase-text-image-chart-only2/artifacts/episode-chart_only_no_action_mass_abstract_model_qwen25_vl_7b-05_latest,chart_only_no_action_mass_abstract_model_qwen25_vl_7b,Chart-only,mass,abstract,model_qwen25_vl_7b,False,,,True,False,Y = B
wandb_downloads_text_image_chart_only2/scientific-exploration-increase-text-image-chart-only2/artifacts/episode-chart_only_no_action_distance_abbrev_model_qwen25_vl_7b-02_latest,chart_only_no_action_distance_abbrev_model_qwen25_vl_7b,Chart-only,distance,abbrev,model_qwen25_vl_7b,False,,,True,False,d = d1 + d2
wandb_downloads_text_image_chart_only2/scientific-exploration-increase-text-image-chart-only2/artifacts/episode-chart_only_no_action_beers_concrete_model_qwen25_vl_7b-05_latest,chart_only_no_action_beers_concrete_model_qwen25_vl_7b,Chart-only,beers,concrete,model_qwen25_vl_7b,False,,,True,False,absorbance = molar_absorptivity * concentration * path_length
wandb_downloads_text_image_chart_only2/scientific-exploration-increase-text-image-chart-only2/artifacts/episode-chart_only_no_action_mass_abbrev_model_qwen25_vl_3b-03_latest,chart_only_no_action_mass_abbrev_model_qwen25_vl_3b,Chart-only,mass,abbrev,model_qwen25_vl_3b,False,,,True,False,m = rho + V
wandb_downloads_text_image_chart_only2/scientific-exploration-increase-text-image-chart-only2/artifacts/episode-chart_only_no_action_resistors_abbrev_model_qwen25_vl_3b-02_latest,chart_only_no_action_resistors_abbrev_model_qwen25_vl_3b,Chart-only,resistors,abbrev,model_qwen25_vl_3b,False,,,True,False,Rt = R1 + R2
wandb_downloads_text_image_chart_only2/scientific-exploration-increase-text-image-chart-only2/artifacts/episode-chart_only_no_action_distance_concrete_model_qwen25_vl_7b-09_latest,chart_only_no_action_distance_concrete_model_qwen25_vl_7b,Chart-only,distance,concrete,model_qwen25_vl_7b,False,,,True,False,total_distance = distance_1 + distance_2 + distance_3
wandb_downloads_text_image_chart_only2/scientific-exploration-increase-text-image-chart-only2/artifacts/episode-chart_only_no_action_beers_abstract_model_qwen25_vl_3b-00_latest,chart_only_no_action_beers_abstract_model_qwen25_vl_3b,Chart-only,beers,abstract,model_qwen25_vl_3b,False,,,True,False,Y = 2A + 3B
wandb_downloads_text_image_chart_only2/scientific-exploration-increase-text-image-chart-only2/artifacts/episode-chart_only_no_action_kinematics_concrete_model_qwen25_vl_7b-03_latest,chart_only_no_action_kinematics_concrete_model_qwen25_vl_7b,Chart-only,kinematics,concrete,model_qwen25_vl_7b,False,,,True,False,initial_position + time * velocity
wandb_downloads_text_image_chart_only2/scientific-exploration-increase-text-image-chart-only2/artifacts/episode-chart_only_no_action_distance_abstract_model_qwen25_vl_7b-01_latest,chart_only_no_action_distance_abstract_model_qwen25_vl_7b,Chart-only,distance,abstract,model_qwen25_vl_7b,False,,,True,False,Y = A + B + C
wandb_downloads_text_image_chart_only2/scientific-exploration-increase-text-image-chart-only2/artifacts/episode-chart_only_no_action_distance_abstract_model_qwen25_vl_3b-04_latest,chart_only_no_action_distance_abstract_model_qwen25_vl_3b,Chart-only,distance,abstract,model_qwen25_vl_3b,False,,,True,False,Y = A + B + C
wandb_downloads_text_image_chart_only2/scientific-exploration-increase-text-image-chart-only2/artifacts/episode-chart_only_no_action_beers_concrete_model_qwen25_vl_3b-09_latest,chart_only_no_action_beers_concrete_model_qwen25_vl_3b,Chart-only,beers,concrete,model_qwen25_vl_3b,False,,,True,False,absorbance = molar_absorptivity * concentration
wandb_downloads_text_image_chart_only2/scientific-exploration-increase-text-image-chart-only2/artifacts/episode-chart_only_no_action_beers_abbrev_model_qwen25_vl_3b-02_latest,chart_only_no_action_beers_abbrev_model_qwen25_vl_3b,Chart-only,beers,abbrev,model_qwen25_vl_3b,False,,,True,False,A = epsilon + c
wandb_downloads_text_image_chart_only2/scientific-exploration-increase-text-image-chart-only2/artifacts/episode-chart_only_no_action_distance_abbrev_model_qwen25_vl_3b-08_latest,chart_only_no_action_distance_abbrev_model_qwen25_vl_3b,Chart-only,distance,abbrev,model_qwen25_vl_3b,False,,,True,False,d = d1 + d2
wandb_downloads_text_image_chart_only2/scientific-exploration-increase-text-image-chart-only2/artifacts/episode-chart_only_no_action_beers_concrete_model_qwen25_vl_3b-05_latest,chart_only_no_action_beers_concrete_model_qwen25_vl_3b,Chart-only,beers,concrete,model_qwen25_vl_3b,False,,,True,False,absorbance = molar_absorptivity * concentration
wandb_downloads_text_image_chart_only2/scientific-exploration-increase-text-image-chart-only2/artifacts/episode-chart_only_no_action_ohm_abstract_model_qwen25_vl_7b-05_latest,chart_only_no_action_ohm_abstract_model_qwen25_vl_7b,Chart-only,ohm,abstract,model_qwen25_vl_7b,False,,,True,False,Y = A + B
wandb_downloads_text_image_chart_only2/scientific-exploration-increase-text-image-chart-only2/artifacts/episode-chart_only_no_action_resistors_abstract_model_qwen25_vl_3b-09_latest,chart_only_no_action_resistors_abstract_model_qwen25_vl_3b,Chart-only,resistors,abstract,model_qwen25_vl_3b,False,,,True,False,Y = constant
wandb_downloads_text_image_chart_only2/scientific-exploration-increase-text-image-chart-only2/artifacts/episode-chart_only_no_action_kinematics_abbrev_model_qwen25_vl_7b-03_latest,chart_only_no_action_kinematics_abbrev_model_qwen25_vl_7b,Chart-only,kinematics,abbrev,model_qwen25_vl_7b,False,,,True,False,x = v * t
wandb_downloads_text_image_chart_only2/scientific-exploration-increase-text-image-chart-only2/artifacts/episode-chart_only_no_action_resistors_concrete_model_qwen25_vl_3b-06_latest,chart_only_no_action_resistors_concrete_model_qwen25_vl_3b,Chart-only,resistors,concrete,model_qwen25_vl_3b,False,,,True,False,total_resistance = resistance_1 + resistance_2
wandb_downloads_text_image_chart_only2/scientific-exploration-increase-text-image-chart-only2/artifacts/episode-chart_only_no_action_resistors_abbrev_model_qwen25_vl_3b-00_latest,chart_only_no_action_resistors_abbrev_model_qwen25_vl_3b,Chart-only,resistors,abbrev,model_qwen25_vl_3b,False,,,True,False,Rt = αR1 + βR2
wandb_downloads_text_image_chart_only2/scientific-exploration-increase-text-image-chart-only2/artifacts/episode-chart_only_no_action_kinematics_abstract_model_qwen25_vl_3b-00_latest,chart_only_no_action_kinematics_abstract_model_qwen25_vl_3b,Chart-only,kinematics,abstract,model_qwen25_vl_3b,False,,,True,False,Y = B - A
wandb_downloads_text_image_chart_only2/scientific-exploration-increase-text-image-chart-only2/artifacts/episode-chart_only_no_action_mass_abstract_model_qwen25_vl_7b-08_latest,chart_only_no_action_mass_abstract_model_qwen25_vl_7b,Chart-only,mass,abstract,model_qwen25_vl_7b,False,,,True,False,Y = A + B
wandb_downloads_text_image_chart_only2/scientific-exploration-increase-text-image-chart-only2/artifacts/episode-chart_only_no_action_mass_abbrev_model_qwen25_vl_3b-02_latest,chart_only_no_action_mass_abbrev_model_qwen25_vl_3b,Chart-only,mass,abbrev,model_qwen25_vl_3b,False,,,True,False,m = k * rho * V
wandb_downloads_text_image_chart_only2/scientific-exploration-increase-text-image-chart-only2/artifacts/episode-chart_only_no_action_resistors_abbrev_model_qwen25_vl_7b-08_latest,chart_only_no_action_resistors_abbrev_model_qwen25_vl_7b,Chart-only,resistors,abbrev,model_qwen25_vl_7b,False,,,True,False,Rt = R1 + R2
wandb_downloads_text_image_chart_only2/scientific-exploration-increase-text-image-chart-only2/artifacts/episode-chart_only_no_action_ohm_abstract_model_qwen25_vl_3b-01_latest,chart_only_no_action_ohm_abstract_model_qwen25_vl_3b,Chart-only,ohm,abstract,model_qwen25_vl_3b,False,,,True,False,Y = constant
wandb_downloads_text_image_chart_only2/scientific-exploration-increase-text-image-chart-only2/artifacts/episode-chart_only_no_action_ohm_abstract_model_qwen25_vl_7b-00_latest,chart_only_no_action_ohm_abstract_model_qwen25_vl_7b,Chart-only,ohm,abstract,model_qwen25_vl_7b,False,,,True,False,Y = Constant
wandb_downloads_text_image_chart_only2/scientific-exploration-increase-text-image-chart-only2/artifacts/episode-chart_only_no_action_distance_abbrev_model_qwen25_vl_3b-03_latest,chart_only_no_action_distance_abbrev_model_qwen25_vl_3b,Chart-only,distance,abbrev,model_qwen25_vl_3b,False,,,True,False,d = k * (d1 + d2)
wandb_downloads_text_image_chart_only2/scientific-exploration-increase-text-image-chart-only2/artifacts/episode-chart_only_no_action_resistors_abstract_model_qwen25_vl_3b-00_latest,chart_only_no_action_resistors_abstract_model_qwen25_vl_3b,Chart-only,resistors,abstract,model_qwen25_vl_3b,False,,,True,False,Y = A + B
wandb_downloads_text_image_chart_only2/scientific-exploration-increase-text-image-chart-only2/artifacts/episode-chart_only_no_action_beers_abstract_model_qwen25_vl_7b-07_latest,chart_only_no_action_beers_abstract_model_qwen25_vl_7b,Chart-only,beers,abstract,model_qwen25_vl_7b,False,,,True,False,Y = 1 / (A + B + C)
wandb_downloads_text_image_chart_only2/scientific-exploration-increase-text-image-chart-only2/artifacts/episode-chart_only_no_action_resistors_concrete_model_qwen25_vl_3b-04_latest,chart_only_no_action_resistors_concrete_model_qwen25_vl_3b,Chart-only,resistors,concrete,model_qwen25_vl_3b,False,,,True,False,total_resistance = resistance_1 + resistance_2
wandb_downloads_text_image_chart_only2/scientific-exploration-increase-text-image-chart-only2/artifacts/episode-chart_only_no_action_distance_abbrev_model_qwen25_vl_3b-02_latest,chart_only_no_action_distance_abbrev_model_qwen25_vl_3b,Chart-only,distance,abbrev,model_qwen25_vl_3b,False,,,True,False,d = k * d1
wandb_downloads_text_image_chart_only2/scientific-exploration-increase-text-image-chart-only2/artifacts/episode-chart_only_no_action_resistors_concrete_model_qwen25_vl_3b-03_latest,chart_only_no_action_resistors_concrete_model_qwen25_vl_3b,Chart-only,resistors,concrete,model_qwen25_vl_3b,False,,,True,False,total_resistance = resistance_1 + resistance_2
wandb_downloads_text_image_chart_only2/scientific-exploration-increase-text-image-chart-only2/artifacts/episode-chart_only_no_action_distance_abstract_model_qwen25_vl_7b-07_latest,chart_only_no_action_distance_abstract_model_qwen25_vl_7b,Chart-only,distance,abstract,model_qwen25_vl_7b,False,,,True,False,Y = A + B + C
wandb_downloads_text_image_chart_only2/scientific-exploration-increase-text-image-chart-only2/artifacts/episode-chart_only_no_action_ohm_concrete_model_qwen25_vl_3b-07_latest,chart_only_no_action_ohm_concrete_model_qwen25_vl_3b,Chart-only,ohm,concrete,model_qwen25_vl_3b,False,,,True,False,voltage = constant
wandb_downloads_text_image_chart_only2/scientific-exploration-increase-text-image-chart-only2/artifacts/episode-chart_only_no_action_distance_abstract_model_qwen25_vl_3b-07_latest,chart_only_no_action_distance_abstract_model_qwen25_vl_3b,Chart-only,distance,abstract,model_qwen25_vl_3b,False,,,True,False,Y = A + B
wandb_downloads_text_image_chart_only2/scientific-exploration-increase-text-image-chart-only2/artifacts/episode-chart_only_no_action_resistors_abstract_model_qwen25_vl_3b-04_latest,chart_only_no_action_resistors_abstract_model_qwen25_vl_3b,Chart-only,resistors,abstract,model_qwen25_vl_3b,False,,,True,False,Y = A + B
wandb_downloads_text_image_chart_only2/scientific-exploration-increase-text-image-chart-only2/artifacts/episode-chart_only_no_action_distance_abbrev_model_qwen25_vl_7b-03_latest,chart_only_no_action_distance_abbrev_model_qwen25_vl_7b,Chart-only,distance,abbrev,model_qwen25_vl_7b,False,,,True,False,d = d1 + d2 + d3
wandb_downloads_text_image_chart_only2/scientific-exploration-increase-text-image-chart-only2/artifacts/episode-chart_only_no_action_ohm_abstract_model_qwen25_vl_7b-07_latest,chart_only_no_action_ohm_abstract_model_qwen25_vl_7b,Chart-only,ohm,abstract,model_qwen25_vl_7b,False,,,True,False,Y = A + B
wandb_downloads_text_image_chart_only2/scientific-exploration-increase-text-image-chart-only2/artifacts/episode-chart_only_no_action_kinematics_abbrev_model_qwen25_vl_7b-04_latest,chart_only_no_action_kinematics_abbrev_model_qwen25_vl_7b,Chart-only,kinematics,abbrev,model_qwen25_vl_7b,False,,,True,False,x = v * t
wandb_downloads_text_image_chart_only2/scientific-exploration-increase-text-image-chart-only2/artifacts/episode-chart_only_no_action_kinematics_concrete_model_qwen25_vl_7b-07_latest,chart_only_no_action_kinematics_concrete_model_qwen25_vl_7b,Chart-only,kinematics,concrete,model_qwen25_vl_7b,False,,,True,False,position = initial_position + velocity * time
wandb_downloads_text_image_chart_only2/scientific-exploration-increase-text-image-chart-only2/artifacts/episode-chart_only_no_action_ohm_abbrev_model_qwen25_vl_3b-06_latest,chart_only_no_action_ohm_abbrev_model_qwen25_vl_3b,Chart-only,ohm,abbrev,model_qwen25_vl_3b,False,,,True,False,V = I + R
wandb_downloads_text_image_chart_only2/scientific-exploration-increase-text-image-chart-only2/artifacts/episode-chart_only_no_action_beers_concrete_model_qwen25_vl_3b-02_latest,chart_only_no_action_beers_concrete_model_qwen25_vl_3b,Chart-only,beers,concrete,model_qwen25_vl_3b,False,,,True,False,Absorbance = molar_absorptivity × concentration × path_length
wandb_downloads_text_image_chart_only2/scientific-exploration-increase-text-image-chart-only2/artifacts/episode-chart_only_no_action_mass_abbrev_model_qwen25_vl_7b-02_latest,chart_only_no_action_mass_abbrev_model_qwen25_vl_7b,Chart-only,mass,abbrev,model_qwen25_vl_7b,False,,,True,False,m = f(rho)
wandb_downloads_text_image_chart_only2/scientific-exploration-increase-text-image-chart-only2/artifacts/episode-chart_only_no_action_resistors_abbrev_model_qwen25_vl_3b-06_latest,chart_only_no_action_resistors_abbrev_model_qwen25_vl_3b,Chart-only,resistors,abbrev,model_qwen25_vl_3b,False,,,True,False,Rt = R1 + R2
wandb_downloads_text_image_chart_only2/scientific-exploration-increase-text-image-chart-only2/artifacts/episode-chart_only_no_action_beers_abbrev_model_qwen25_vl_3b-05_latest,chart_only_no_action_beers_abbrev_model_qwen25_vl_3b,Chart-only,beers,abbrev,model_qwen25_vl_3b,False,,,True,False,A = c + l
wandb_downloads_text_image_chart_only2/scientific-exploration-increase-text-image-chart-only2/artifacts/episode-chart_only_no_action_resistors_abstract_model_qwen25_vl_3b-06_latest,chart_only_no_action_resistors_abstract_model_qwen25_vl_3b,Chart-only,resistors,abstract,model_qwen25_vl_3b,False,,,True,False,Y = f(A)
wandb_downloads_text_image_chart_only2/scientific-exploration-increase-text-image-chart-only2/artifacts/episode-chart_only_no_action_mass_concrete_model_qwen25_vl_7b-03_latest,chart_only_no_action_mass_concrete_model_qwen25_vl_7b,Chart-only,mass,concrete,model_qwen25_vl_7b,False,,,True,False,mass = volume
wandb_downloads_text_image_chart_only2/scientific-exploration-increase-text-image-chart-only2/artifacts/episode-chart_only_no_action_ohm_abstract_model_qwen25_vl_3b-08_latest,chart_only_no_action_ohm_abstract_model_qwen25_vl_3b,Chart-only,ohm,abstract,model_qwen25_vl_3b,False,,,True,False,Y = A + B
